Course	Room	Teacher	Time	Students
003270	BYC106	0492451	19:00 - 21:00 T	1045484 1076785 1117207 3092604 3097075 3097709 3100468 3123316 3191191 3194873 3211393 3217195 3316273
011528	TAYF	3310251	14:00 - 16:00 T	
005156	PK336	0493855	10:00 - 11:00 MWF	1048446 1080360 1126780 1162423 3067793 3073483 3081720 3084782 3091218 3098317 3098380 3103203 3127044 3169335 3179026 3213840 3233348 3254195 3292462 3317266 3330926 3331638 3332249
006525	CARP21	0031573	11:00 - 12:00 MWF	1048446 1129252 3083207 3085302 3158474 3210027 3214704 3248179
008800	PK180	0031572	12:00 - 13:00 MWF	1048446 1079503 1079912 3067313 3070830 3077943 3161390 3192657 3212293 3307517
010944	CARP25	0777265	19:00 - 21:00 T	1048446 1129252 3063558 3098490
001763	CARP21	3393848	12:00 - 13:00 MWF	1049279 1154382 1154715 3152743 3177284 3204688 3214704 3311452
002375	PK229	0125630	14:00 - 16:00 T	1049332 3094744
002403	EHI	1137952	13:00 - 14:00 MWF	1049332 1093758 3151195
006026	PK25	0213446	13:00 - 15:30 T	1079503 1080542 1081207 1103971 1135650 3062860 3078066 3082488 3098243 3099257 3152623 3152743 3160933 3191191 3212784 3217408 3275971 3312113 3312114 3322663 3322722 3322740
011847	TAYE	3195964	9:00 - 10:00 MWF	1049392 1052099 1070812 1073428 1139204 3065806 3095290
002643	TAYF	0827051	13:30 - 16:00 TH	1051315 1135687 3057461 3070231
002562	EHII	3398516	12:00 - 14:00 TH	1051891 1079289 1090521 1149928 3062898 3093319 3114701 3121966 3151195 3166656 3211384 3211593 3211727 3212165 3215635 3218908 3220932 3311550 3322108 3331090
007049	TAYE	0893542	10:00 - 11:00 MWF	1051891 1141987 1163270 3078066 3081073 3084853 3088047
