Course	Room	Teacher	Time	Students
008492	PK243	0031462	14:00 - 16:00 F	772305 782929 807993 828065 836904 860532 867165 903222 907248
007393	TH224	0987494	11:00 - 12:00 MWF	772735 779966 825102 825646 829872 896224
001576	TAYD	0826962	19:00 - 21:00 T	772927 908002 918118 918153
004808	PK180	1074848	8:00 - 9:00 M-F	772927 773772 813366 825970 849809 919776 950811 967988 991229 1004206 1023494 1077257
001843	PK25	0056992	12:00 - 14:00 M	773014 780485 799016 807993 819118 858872 883015 887308 899636 901688 915652 915885 960068 966299 985094 992616 1003644 1007842 1016793 1016996 1085324
002669	CARP21	0897706	14:00 - 16:00 F	773014
004013	TH110	0031578	14:00 - 16:00 M	773014 781976 853988 856959 867125 903449 906963 920237 947693 960068 967411 982172 993532 1002767 1004225 1008925 1017832 1017840 1019006 1025508 1025533 1029566 1037338 1037745 1067726 1076923
002151	PK338	0470544	12:00 - 14:00 M	773175 875055 904516 904680 906963 909240 945809 967988 970262 989590 993790 999715 1002248 1002364 1004225 1005149 1006744 1008387 1009559 1017444 1018301 1021867 1025629 1034405 1035148 1036225 1036442 1040874 1047339 1055290 1056722 1056963 1058223 1064045 1065142 1065796 1066778 1067334 1067460 1067933 1068371 1076989 1078680 1083430 1083594 1084017
005845	PK336	0031582	14:00 - 16:00 M	773276 960084 988603 1025379 1030693 1037291 1039868 1042335 1044157 1057779 1067251
001856	PK229	0826942	18:00 - 19:00 T	773385 803723 848150 852176 909837
003027	PK336	0375562	13:00 - 16:00 TH	773573 802710 803706 818674 834495 848789 853970 860204 868309 912081 913466
008441	PK229	0031462	11:00 - 12:00 MWF	776956 812518 907248 1044791
004857	PK243	1063507	11:30 - 13:00 TTH	778307 788849 828068 845664 849713 857382 871309 899292 901481
001424	TH110	0024663	13:00 - 16:00 TH	779081 851684 865645 896036 901262 912439 917702 973811 998351 1010643 1011104 1017832 1017840 1018817 1025508 1025845 1028249 1030693 1039679 1044157 1047339 1049929 1056281 1057592 1057779 1064385 1077815 1082919 1083430 1083627 1084334
002856	PK338	0675005	14:00 - 16:00 W	779081 856128 867125 900240 903449 906085 907217 907596 911802 912699 913946 913989 914290 914299 915622 915648 917883 918519 919158 920251 945034 948568 954830 958492 958984 959304 964596 966094 968216 970193 971073 971315 973811 976318 980544 980693 986688 986807 987276 987613 988271 988657 989520 991672 991769 993169 993517 998784 999826 1001613 1001887 1002364 1002606 1002706 1004206 1005548 1016996 1083812
002872	TH224	1084458	14:00 - 16:00 T	780191 885444 901688 917702 952211 973811 1010750
004735	CARP21	0004955	10:00 - 11:30 TTH	780191
005847	PK180	1015598	13:00 - 16:00 TH	780191 789995 820055 899292 908461 909942 999833 1001887 1025035 1056815
001189	TH224	0138190	10:00 - 11:00 MWF	780485 813277 827460 828065 828467 897911 904706
001862	DAL204	0031557	14:00 - 16:00 W	790880 804193 806886 814828 820055 825646 830700 857087 862176 865894 873557 892236 903600 1016462
005123	TAYD	0031560	18:00 - 19:00 T	781147 828705 834138
008796	TAYD	0031392	11:00 - 12:00 MWF	781191 993506 1005971
002162	DAL204	0986606	12:00 - 14:00 W	781472 799016 806269 812300 847932 851403 861690 865276 884876 886763 888075 890199 901946 911941 959304 1015706
002164	DAL204	0180723	10:00 - 11:00 MWF	781472 784558 799016 806269 812300 847932 850854 851209 851403 852940 861690 865276 884876 886763 888075 890199 901946 911941
004830	TAYF	0348369	12:00 - 14:00 W	782876 810885 871309 899135 899292 901481 914599 960084
005159	PK336	1084458	14:00 - 16:00 W	782876 802710 807347 823997 827772 951991 991668 993532 1018857 1057004
004807	PK243	0672202	14:00 - 16:00 M	783456 788849 807347 899636 972660 1005112 1029210 1056217 1077003 1084017
004359	PK25	0138190	11:30 - 13:00 TTH	784123 789284 858092 948568 950504 970262 972861 986807 1005149 1025522 1025569 1036225 1066308 1066309 1066915 1077416 1077482 1079771 1080648 1086916
001764	PK243	1165592	8:00 - 9:00 M-F	785336 851403 879882 889384 952008 981989 993566 1003389 1084462
002635	DAL204	0320102	12:00 - 14:00 M	785336 900240 911706 915589 952443 959092 971315 988990 991120 1006444 1023494 1046086 1056815 1066679 1067502
008439	TH110	0132890	19:00 - 21:30 M	786698 791975 812518 829872 850382 859719 860298 896224 906085 907596 907897 909560 909942 911936 945635 971073 985440 989401 989590 998815 1005451 1009104 1016793 1056600
001442	PK229	1167855	14:00 - 16:00 F	787159 858527 993532 1005149 1007196
008784	DAL204	0031572	19:00 - 21:00 T	787159 859409 902118 906618 916427 945635 952008 993268 1000895 1007458
006539	TAYD	0777265	14:00 - 16:00 F	787430 830911 1083627
006863	PK243	0826957	13:00 - 16:00 TH	787582 799414 809192 822717 830862 832455 834138 852358 860659 889858
007902	TH224	0028745	11:30 - 13:00 TTH	794297 812518 829376 886011 1046439 1076085
004046	TAYF	0854975	12:00 - 14:00 M	795445 829788 830141 830700 833695 849243 865645 910056
004297	TH224	0994827	14:00 - 16:00 M	799414 822717 832455 882728 889858 909662
008420	DAL204	0031553	11:30 - 13:00 TTH	803579 847790 855859 858864 862152 909560 913989 915740 958492 971073 972633 987937 991120 1001894 1003539 1017760 1077815
004282	TH224	1165566	14:00 - 16:00 F	803723 825478 909091 909662
006518	PK336	0777265	12:00 - 14:00 W	806873 851545 852109 883488 903064 911936 985440 1005451 1076923 1076989
005221	TH224	1167853	10:00 - 11:30 TTH	807993 865667 883015 911598 976244 1019212
002412	PK25	1051497	14:00 - 16:00 M	809192 825616 826565 829096 829360 851310 852945 858034 859066 860497 869484 894845 903191 904301 907150 909560 919825 945584 949279 991672 993169 1016462 1034578
001194	PK243	0706398	19:00 - 21:30 M	810196 819118 871255 911941 914260 915226 915652 920261 992616
002660	CARP21	0031572	19:00 - 21:30 M	
002709	CARP21	0024092	14:00 - 16:00 M	810794 889384
008773	PK25	0431786	8:00 - 9:00 M-F	812824 897034 904347 912781 913880 913989 919158 920095 945034 959337 960037 986688 992189 1004733 1006899 1007882 1015256 1017444 1025629 1056688 1076854 1078508
001847	DAL204	0814748	14:00 - 16:00 F	814593 820055 830280 830807 848492 861391 861815 873557 882323 892236 903600 905540 908164 909692 918118
004036	TH224	0030564	8:00 - 9:00 M-F	818674 867494 888222 899440 910056 972660 988355
004355	DAL204	0989327	10:00 - 11:30 TTH	818674 825024 847790 900525 965925 1005315 1006799 1036027 1047339 1054176 1056281 1056600 1064045 1068109 1084334
001196	GOB	1051497	19:00 - 22:00 W	819118
002564	PK229	1167856	19:00 - 22:00 W	822753 858924 859319 945959 958879 999715
005282	TAYD	0493856	10:00 - 11:30 TTH	823997 826670 896217 1005633
001468	CARP21	0432212	8:00 - 9:00 M-F	825024 850564
004278	PK229	0017611	10:00 - 11:30 TTH	825478 901539 909091 909662 993566
001559	GOB	0129398	9:00 - 10:00 MTWF	825743
002668	GOB	0031392	14:00 - 16:00 T	825935
002671	TAYD	0138190	19:00 - 21:30 M	825935 851187 862176 873190
004866	TH111	0031582	8:00 - 9:00 M-F	826099 831800 901481
003445	DAL204	0031359	19:00 - 21:30 M	826363 831413 887308 887398 901570 965925 988631 991756 1015256 1020695 1025379 1040618 1040868 1040874 1053370
001566	PK336	0826962	19:00 - 21:00 T	826565 834472 834544 849809 865618 889700 908998 967532 988631 1065945 1084462
001568	PK336	0826962	18:00 - 19:00 T	826565 834472 834544 849809 865618 889700 908998 967532 988631 1065945 1084462
005141	PK336	1062910	14:00 - 16:00 T	827772 852358 1003389 1005427 1019940 1024315 1037745 1040045 1066308 1078413 1086916
007905	TH111	0031539	14:00 - 16:00 M	827772 852109 1040874
004879	GOB	1051497	10:00 - 11:00 MWF	
002367	PK25	0493725	9:00 - 10:00 MTWF	829096 849713 859066 892236 894845 903191 906085 907217 909560 954641 958897 991672 993169 999712 999896 1000122 1001394 1019025 1019827 1025644 1034578 1041559 1058058 1076783 1080398
006038	DAL204	0031621	14:00 - 16:00 M	829788 830862 858924 865750 896929 901961 906035 907151 907914 915648 945959 958879 987613 992577 1002729 1005971
006544	TH111	0127086	19:00 - 22:00 W	830276 851545 900429 992801
006585	GOB	1075274	14:00 - 16:00 M	830276
004666	PK229	0775640	19:00 - 21:30 M	831800 849245 915740 1016434 1067483
001179	TAYD	0827357	19:00 - 22:00 W	831966 906896 944831 988355 992189
004009	TH110	0163316	14:00 - 16:00 T	832653 851033 861504 906447 920400 967793 988625 991763 992186 992796 998351 1003476 1018174 1018936 1041981 1055290 1056738 1056963 1058180 1064790 1065142 1066007 1067334 1067724 1067862 1068052 1077294 1078819 1079366 1079444 1081952 1082799 1083626 1085061 1086329
004739	GOB	1084458	11:30 - 13:00 TTH	834603
006024	PK338	0031454	14:00 - 16:00 F	836471 904680 906963 907063 972861 988603 992577 998351 1004225 1005412 1006438 1017339 1020520 1025379 1025533 1025623 1025629 1029737 1029787 1036442 1037541 1040818 1046439 1049929 1053370 1056012 1058223 1066915 1067334 1068383 1076989 1077161 1077257 1077417 1077482 1078508 1083080 1086916
002949	CARP21	1051497	13:00 - 16:00 TH	846811 888222
