Course	Room	Teacher	Time	Students
005741	TH110	4362771	16:10 - 17:30 MW	3717144 3932089 3910617 3910650 3914676 4086443 3690789 3819542
004010	PK25	4089710	10:10 - 11:30 MW	3722992 3818770 3834985 3860357 3904324 3935260 3951018 4093015 4170471 4229863 4282115 4096983 4280849 4152983 3610287 4170423 4086277 4096266 4254672 3819269 3931881 4277523 4193252 4280941 4372021 3910609
006542	PK349	0138190	14:10 - 16:00 T	3724014 3585962 4281163 4093324 4086253
001152	PK20	4354559	12:10 - 14:00 T	3759127 3851827 3902911 3921659 3932089 3989696 3991180 4062513 4091672 4155489 4181049 4278573 4279708 3959570 4041708 4282008 4175304 4280140 3797266 4279995 4092251 4093611 4278481 3759337 4277844 4280913 3997010 4037591 4094796 4003389 4125081 4152351 4275712 4277525 4281002 4371918 3931449 4091510 4146462 4254672 3899772 4278034 4181031 4181151 4276567 4280050 3881459 3978317 3997576 4003534 4038907 4081695 4158080 4164263 4277782 4278360 4278720 4280889 4282720 4276256 4093126 4176721
015869	CARP21	0701976	10:10 - 11:30 MW	3759127 4092928 4093255 3914814
006539	PK25	3083296	12:10 - 16:00 MW	3651486 3759127 3759552 3839352 3846717 3876667 3953825 4127521 4280622 3819353 3929419 4175299 4091767 4279329 3922542 3935616 4170524 3668365 3901004 3912597 3923376 3930052 3903520 3949607
003441	PK180	0897706	19:10 - 21:00 MW	3762625 3929635 3930162 4043840 4280465 4095302 3914745 3904251 3914449 3969305 4175436 3994843 4175523 3931001 4276256 3930220 3820010
003541	PK349	0599596	13:10 - 16:00 TH	3762625 3797192 3915038 3930220
004023	PK243	0854975	14:10 - 16:00 TH	4090845 4002846 4096899 4175365 4279260 3908683 4095985 4175524 4176721 4086492
004036	PK338	3646540	16:10 - 17:30 MW	3762625 3817507 3913210 3973360 3769494 3914354 4175446 3871577 4279260 4176465 3931001 4175362 4175329
004066	PK180	1167978	14:40 - 16:00 MW	3792350 3797324 3818025 3908300 3768034 3818029 3823311 3905715 3699613 3796254 3879197 3910517 3584557 3694668 3910527 3910531
005263	PK338	0493855	10:10 - 13:00 F	3690799 3771823 3781152 3823387 4086417 3931453 3798513 3928941 3969305 4175312 3915042
003465	CARP21	0599596	11:40 - 13:00 MW	3788743 4270406 3929651 3930731 4175535 3816483 4467145 3819380
006504	PK20	3083296	12:10 - 14:00 F	3724014 3788743 3937160 4003168 4090749 4129668 4233573 4236548 4277951 4281005 4281868 4003642 4127014 3878563 4277527 4277844 3941668 4133513 4003434 4280524 4372198 3910595 3930683 3995227 4181031 3821179 3858245 3883637 4093423 4097054 4174380 3931388 3995719 3851846 4092819 4093853 4278491 3888348 3961853
014099	PK25	0409956	14:10 - 16:00 TH	3692316 3725997 3771823 3788743 3846717 3921208 3929849 3818807 3788897 3833378 3694712 3913768 4075429 3689328 3929586 3722764 3928966 3930817 3968696 3904320 4086447
005228	CARP21	3448653	10:10 - 13:00 F	3790244 3915099 3930197 3758045 4037591 3703427 4014851 3823271
001185	PK243	3646542	14:10 - 16:00 F	3583596 3790306 4044003 4278351 3914928 4003389 4180434 4175415 4000336 4002806
016886	PK243	0058557	18:10 - 19:00 TH	3790306 4090841 4093315 4150362 3929237 4091767 4175440 3769368 3844962 4175348 4093136 3821589
015416	PK338	3194197	12:10 - 14:00 T	3903833 3913138 3819546 3714653 4086323 3715174 3910626 4040430 4086409 4086436 4086437 4174897 3914906
015243	PK338	0031631	11:40 - 13:00 MW	3483059 3667385 3796964 3913396 3914515 3915155 3929894 3797168 3821008 3910343 4095224 3661465 3822995 3905868
003454	PK25	3092941	13:10 - 14:00 TH	3797324 3817981 3818770 3883991 3929289 3957394 3960504 4000195 4003485 4003839 4059195 4090975 4095807 4282999 4000249 3914449 4091718 3822731 3911048 3930721 3931889 3969305 3995227 4002806 4023528 4091773 3821589
016852	PK278	3479968	14:10 - 16:00 T	3797532 3913437 4174840 3880322 3668130 3789315 4090814 3830308 3910649 3610287 3612203 4086501 3703938 3906250 3910745 4086294 3775417 3796974
015135	PK278	3899727	10:10 - 11:30 MW	3799593 3915711 3930547 3989696 4001588 4095897 3918056 4001999 4115871 4091996 4094796 4096262 3821097 4174617 3816108 3914502 4093806 4092159
004874	DAL119	3436165	13:10 - 14:30 MW	3814239 3827187 4092767 4092823 3910684
017106	PK25	3436165	13:10 - 14:30 MW	3651750 3816174 3818805 3823338 4090975 4091895 4095243 4233573 3768356 3817682 3910937 3973119 3609553 3887480 4175478 4092144 4277607 3903861 3910609 3910464 3579361 3823228 3857764 3901722 4278491 3930864 3913815
002564	PK338	0564741	13:10 - 15:30 TH	3816174 3932943 4001588 4089004 4093970 4277909 4093282 4371955 4091782 4254672 3974846 3994733 3901254 3995802 4086215
005154	PK278	1020104	13:10 - 16:00 TH	3816180 3929800 4174957 3902759 3930614 3889653 3904411 3768025 4091785 3930070 3928941 4074784 4175368 4086083 3818782 3817261
009299	TH224	0321808	19:10 - 21:00 MW	3816180 3712286 4268891 3821180
011962	PK180	0492451	9:55 - 12:45 TH	3816463 3824908 3903909 4094613 4175284 3903092 4175281 3914745 3931453 3774021 3910548 4086473 3894333 4086317 4086244 4093186 3788983 3904334 4086379
015860	CARP21	0125630	12:10 - 13:10 MW	3816463 3817487 4092004 3903092 3820858 3915044 4090730 4467145
004290	PK243	3646542	9:55 - 12:45 TH	3816993 3910870 3684090 3768197 3579867 4086249 3823391 3910498 3789439 3914251 3929864 3759092 3823094
003421	TH110	0024092	14:10 - 16:00 TH	3816997 3827187 4193260 4037591 3910564 4174660 4143065 4175286
008423	PK25	4177943	14:10 - 16:00 F	3816997 3818805 3901669 3932943 3953825 4090844 4127367 4155489 4180325 4193293 4278485 4280653 3915243 4174957 3699613 3997010 4130250 4358230 3902614 4174660 4278734 3817419 3820768 3818771
001771	CARP21	1061058	19:10 - 21:00 MW	3817981 4282008 3856450 3847931 3910564 3769494 3819304 3995227 4086314
004304	DAL119	3448653	12:10 - 14:00 T	3675467 3816722 3818024 3716057 3589576
012818	TH110	3448653	13:10 - 16:00 T	3910870 4175295 4175408 4003130 3913164 3822218 4002094 4175371 4278990
001845	PK25	3646542	16:10 - 17:30 MW	3818025 3822778 3931946 3970633 3994652 4095301 4095424 3818762 4001999 4115871 3928589 3822201 3847931 4003434 4174617 3901731 3968696 4134408 4007305 4175330 3914552 4091072 4093853 4086287
