Course	Room	Teacher	Time	Students
007125	PK20	0162976	10:45 - 12:45 T	3601391 3666520 3692849 3694980 3695529 3592325 3609553 3694073 3695345 3498772 3687862 3580346 3790492 3910717 3454433 3819542 3581851
007127	PK20	0162976	13:00 - 14:00 MW	3601391 3606148 3652273 3666520 3667608 3692849 3694318 3694481 3695529 3822122 3493931 3606290 3690800 3694073 3631101 3599536 3580346 3606350 3618222 3635012 3695022 3797673 3454433
014551	PK278	0492451	14:30 - 16:00 MW	3693219 3667749 3901669 3908117 3931959 3581375 3693280 3462565 3823228 3693856 3797662 3797705 3797720 3913674 3430527
015420	PK338	0028980	13:00 - 14:30 MW	3601391 3631101 3903092 3816181 3797745 3910548
011838	PK278	0031619	16:00 - 17:00 W	3602816 3678350 3816486 3822218 3818771 3930865 3668763 4086484 3913781 3652339 3817087 3820858 3914822
004065	PK278	3197197	9:45 - 11:15 TTH	3606148 3914166 3666801 3695282
002182	PK349	4090501	14:30 - 16:00 F	3496673 3606536 3648550 3656490 3690043 3792350 3693813 3694903 3493748 3690806 3689500 3460343 3591844 3667503
011826	PK20	3415849	16:00 - 17:30 T	3606536 3656490 3710991 3721962 3768197 3816554 3821069 3821166 3716638 3817962 3821440 3821197 3722926 3632720 3820380
012895	PK349	3648157	13:00 - 16:30 TH	3621523 3629467 3651750 3668196 3671851 3693084 3693219 3693224 3695784 3712913 3796007 3796723 3930705 3690733 3789464 3821088 3692915 3790863 3797786 3797862 3910712
006867	PK278	0402773	13:00 - 14:30 MW	3820965 3694738 3667464 3690719 3910701
001840	PK20	0056992	14:00 - 17:30 M	3822778 3860357 3930547 3931962 3914696 3689893 3902911 3795919 3929235 3913807 3820858 3909951 3910553
002151	PK20	3415849	10:00 - 11:30 MW	3619255 3851345 3858715 3902439 3902905 3915040 3631042 3771823 3818122 3915088 3823391 3912597 3930674 3910185 3911054 3845742 3930083 3823307 3799593 3863747 3759092 3788616 3823094 3905871 3789493 3816108 3901413 3913815 3929864 3930831 3881459 3890005 3902196 3913768 3914552 3931666 3964186 3969012 4002094 4002204 4002914 4003188 4014851 4041708 4043326 4050929 4091785 4091996 4093973 4094640 4094813 4095071 4095301 4095930 4096913 3910347 3930025
004888	PK349	0032827	10:00 - 11:30 MW	3619718 3638956 3694741 3695643 3597302 3597365 3642332 3397771 3645720 3519726 3691694 3693565 3797644 3797752 3411886 3655749
004082	PK278	3646540	19:00 - 22:00 T	3606148 3629467 3692849 3695529 3666801 3652373 3695282 3797805
015841	PK278	3577228	14:30 - 16:00 TTH	3629951 3816180 3931688 3814776 3929419 3931001 3929222 3419024 3910712 4086443 3797704 3821552
001768	PK349	3474420	13:00 - 15:00 W	3629970 3694828 3789464 3693612 3694798 3871577 3931889 3616872 3823228 3901481 3602435 3665045 4086331 4086410
003533	PK20	0897706	19:00 - 21:00 M	3629970 3692766 3592325 3819230 3931158 3690733 3768555 3693612 3581315 3694101 3768088 3773692 3616872 3650874 3768303 3578910
004725	PK349	3194197	14:30 - 16:00 M	3580211 3630526 3816708 3823755 3910937 3668130 3903861 3668845 3797605 3797753 3797784 3910478 3910568 3816174 3965315 4090730 3821766
014542	PK278	0254151	16:00 - 17:30 T	3630526 3668365 3995730 3715155 3690516 3792443 3793534 3930731
007026	PK349	3198619	9:00 - 12:30 T	3632103 3690799 3910179 3915267 3758045 3904320 3889653 3904334 3846234 3821588 3860451 3797084 3821886 3904254 3797722 3910510 4086503 4174898 3768620 3797697 3797762
011035	PK20	3998660	13:00 - 15:00 W	3632103 3695145 3708949 3759552 3817507 3848104 3915332 3691925 3847728 3914875 3774116 3818773 3906250 3795919 3813457 3826470 3930260 3708638 3815902 3823151 3904254 3905460 3811886 4086374 4091767 4091877 4091895 4093126 4095071 3917445 3929883 4180466 4175428 3820257 4086504
006508	PK349	0031478	13:00 - 16:00 TH	3632881 3715444 3930674 3816963 3458065 3821393 3599536 3915028 4170477
012291	PK278	0409956	19:00 - 21:00 T	3638301 3816336 3788897 3652276 3821254 3694668 3660063 3797691 3797714 3797739 3910493 3579592 3694754 3581967
011531	PK278	0431946	14:00 - 16:00 TH	3638956 3863747 3645720 4079295 3821589 3655749
012729	PK338	3996795	12:00 - 14:00 M	3638956 3914166 3597302 3797690
002951	PK338	3555097	15:30 - 17:30 TH	3649568 3689991 3667674 3577984 3695554 3797667 3797861 4086506
012665	PK278	3332662	13:00 - 15:00 TH	3649880 3694415 3578392
